movie_id,movie_title,date,tickets_sold,revenue
206,Amazing Guardian,2024-08-23,26,357.60882596053546
206,Amazing Guardian,2024-08-24,75,971.9277371138894
206,Amazing Guardian,2024-08-25,58,571.9211476056461
206,Amazing Guardian,2024-08-26,2,26.280204735587787
206,Amazing Guardian,2024-08-27,19,162.36540485644537
206,Amazing Guardian,2024-08-28,13,191.41339383477836
206,Amazing Guardian,2024-08-29,6,52.25145507199481
206,Amazing Guardian,2024-08-30,14,164.10278303744232
206,Amazing Guardian,2024-08-31,18,168.33305043205763
206,Amazing Guardian,2024-09-01,63,613.7044958128199
206,Amazing Guardian,2024-09-02,40,585.3009364760773
206,Amazing Guardian,2024-09-03,35,463.5526177044562
206,Amazing Guardian,2024-09-04,26,343.7917244822054
206,Amazing Guardian,2024-09-05,49,611.0481348615984
206,Amazing Guardian,2024-09-06,22,279.8718548166973
206,Amazing Guardian,2024-09-07,66,835.3419679053771
206,Amazing Guardian,2024-09-08,9,82.5089870909235
206,Amazing Guardian,2024-09-09,11,130.3473409259312
206,Amazing Guardian,2024-09-10,32,331.60288300579145
206,Amazing Guardian,2024-09-11,10,117.37303338863215
206,Amazing Guardian,2024-09-12,38,421.8412372195446
206,Amazing Guardian,2024-09-13,22,314.98268548051914
206,Amazing Guardian,2024-09-14,52,776.8925285849982
206,Amazing Guardian,2024-09-15,30,417.4193431292556
206,Amazing Guardian,2024-09-16,26,347.0815549585956
206,Amazing Guardian,2024-09-17,27,372.1432902827039
206,Amazing Guardian,2024-09-18,20,245.17787183598546
206,Amazing Guardian,2024-09-19,36,425.497812374755
206,Amazing Guardian,2024-09-20,24,320.6389808985598
206,Amazing Guardian,2024-09-21,70,684.5036723196819
206,Amazing Guardian,2024-09-22,42,467.56493796548534
206,Amazing Guardian,2024-09-23,25,200.03423487473148
206,Amazing Guardian,2024-09-24,2,29.76139059649967
206,Amazing Guardian,2024-09-25,38,308.33645114067264
206,Amazing Guardian,2024-09-26,8,119.63107253505419
206,Amazing Guardian,2024-09-27,19,152.8736542533667
206,Amazing Guardian,2024-09-28,21,199.57895348065273
206,Amazing Guardian,2024-09-29,30,244.55728800609592
206,Amazing Guardian,2024-09-30,44,605.2799370959012
206,Amazing Guardian,2024-10-01,35,405.26151464357343
206,Amazing Guardian,2024-10-02,36,521.3324574533565
206,Amazing Guardian,2024-10-03,9,77.9400890348657
206,Amazing Guardian,2024-10-04,29,304.1981179169546
206,Amazing Guardian,2024-10-05,12,118.25900705780805
206,Amazing Guardian,2024-10-06,55,536.1949087657239
206,Amazing Guardian,2024-10-07,16,218.84031451965774
206,Amazing Guardian,2024-10-08,5,59.96705058211788
206,Amazing Guardian,2024-10-09,36,519.3062144428059
206,Amazing Guardian,2024-10-10,46,392.85890410090184
206,Amazing Guardian,2024-10-11,20,271.0065872039992
206,Amazing Guardian,2024-10-12,16,182.68695661782462
206,Amazing Guardian,2024-10-13,66,852.7157274202957
206,Amazing Guardian,2024-10-14,6,72.99971050750236
206,Amazing Guardian,2024-10-15,19,156.9704222917183
206,Amazing Guardian,2024-10-16,36,384.1496198458694
206,Amazing Guardian,2024-10-17,49,411.18148912639856
206,Amazing Guardian,2024-10-18,49,506.69564805433197
206,Amazing Guardian,2024-10-19,40,436.62607953301745
206,Amazing Guardian,2024-10-20,10,140.8850559884854
206,Amazing Guardian,2024-10-21,14,185.27250841239362
206,Amazing Guardian,2024-10-22,38,551.021742098343
206,Amazing Guardian,2024-10-23,40,537.6772130803333
206,Amazing Guardian,2024-10-24,24,201.09349539282624
206,Amazing Guardian,2024-10-25,33,273.51310024978307
